sample	editor	specific_editor	window	value	metric	dataset
243C	ABE	miniABEmax	1	0.878292286605453	AUROC	Train
243C	ABE	miniABEmax	1	0.623621418060359	AUPRC	Train
243C	ABE	miniABEmax	1	0.87027159620315	AUROC	Test
243C	ABE	miniABEmax	1	0.630247479643477	AUPRC	Test
243C	ABE	miniABEmax	3	0.900791064420997	AUROC	Train
243C	ABE	miniABEmax	3	0.706874832495483	AUPRC	Train
243C	ABE	miniABEmax	3	0.899738357238493	AUROC	Test
243C	ABE	miniABEmax	3	0.729858809741056	AUPRC	Test
243C	ABE	miniABEmax	5	0.908585943431789	AUROC	Train
243C	ABE	miniABEmax	5	0.725588298146058	AUPRC	Train
243C	ABE	miniABEmax	5	0.898247508364166	AUROC	Test
243C	ABE	miniABEmax	5	0.730768383105367	AUPRC	Test
